subj,run,phase,scheme,auc
2,1,OFFSET,FIX,1.0
2,1,OFFSET,TASK,0.9673076923076923
2,1,ONSET,FIX,0.9930801687763713
2,1,ONSET,TASK,0.9812025316455696
2,2,OFFSET,FIX,1.0
2,2,OFFSET,TASK,0.993859649122807
2,2,ONSET,FIX,0.9983161512027492
2,2,ONSET,TASK,0.9849312714776632
2,3,OFFSET,FIX,1.0
2,3,OFFSET,TASK,1.0
2,3,ONSET,FIX,0.999538784067086
2,3,ONSET,TASK,0.9931341719077568
2,4,OFFSET,FIX,1.0
2,4,OFFSET,TASK,0.9898913043478261
2,4,ONSET,FIX,0.9975925925925926
2,4,ONSET,TASK,0.9807716049382716
2,5,OFFSET,FIX,1.0
2,5,OFFSET,TASK,0.9980952380952381
2,5,ONSET,FIX,0.9409931506849315
2,5,ONSET,TASK,0.5468949771689497
2,6,OFFSET,FIX,0.9977131782945736
2,6,OFFSET,TASK,0.8687596899224806
2,6,ONSET,FIX,0.903343685300207
2,6,ONSET,TASK,0.3668944099378882
2,7,OFFSET,FIX,0.991010101010101
2,7,OFFSET,TASK,0.8783838383838384
2,7,ONSET,FIX,0.7585656565656566
2,7,ONSET,TASK,0.49496969696969695
2,8,OFFSET,FIX,0.9979022988505747
2,8,OFFSET,TASK,0.8837931034482759
2,8,ONSET,FIX,0.8853985507246377
2,8,ONSET,TASK,0.537475845410628
3,1,OFFSET,FIX,0.9998888888888889
3,1,OFFSET,TASK,0.9951666666666666
3,1,ONSET,FIX,0.9727037554637091
3,1,ONSET,TASK,0.555707531741548
3,2,OFFSET,FIX,0.9512878787878788
3,2,OFFSET,TASK,0.05712121212121212
3,2,ONSET,FIX,0.9863579063703397
3,2,ONSET,TASK,0.23528294392926832
3,3,OFFSET,FIX,0.9936559139784946
3,3,OFFSET,TASK,0.9248387096774193
3,3,ONSET,FIX,0.9408412780412968
3,3,ONSET,TASK,0.46284381408600633
3,4,OFFSET,FIX,0.99421875
3,4,OFFSET,TASK,0.9586979166666667
3,4,ONSET,FIX,0.9515633724176438
3,4,ONSET,TASK,0.48450586264656614
3,5,OFFSET,FIX,0.98
3,5,OFFSET,TASK,0.428
3,5,ONSET,FIX,0.909894299081615
3,5,ONSET,TASK,0.0019638421995032632
3,6,OFFSET,FIX,0.9466666666666667
3,6,OFFSET,TASK,0.03321428571428572
3,6,ONSET,FIX,0.9960587249975367
3,6,ONSET,TASK,0.13907774164942358
3,7,OFFSET,FIX,0.9023333333333333
3,7,OFFSET,TASK,0.0118
3,7,ONSET,FIX,0.9643522778210301
3,7,ONSET,TASK,0.16367046500106164
3,8,OFFSET,FIX,0.794404761904762
3,8,OFFSET,TASK,0.011547619047619048
3,8,ONSET,FIX,0.9329140461215933
3,8,ONSET,TASK,0.1349409521401557
4,1,OFFSET,FIX,0.948010752688172
4,1,OFFSET,TASK,0.1418279569892473
4,1,ONSET,FIX,0.9961754439216877
4,1,ONSET,TASK,0.602913947488238
4,2,OFFSET,FIX,0.9733908045977011
4,2,OFFSET,TASK,0.16132183908045977
4,2,ONSET,FIX,0.9903968387679772
4,2,ONSET,TASK,0.6065460783262624
4,3,OFFSET,FIX,0.9308333333333333
4,3,OFFSET,TASK,0.19696666666666668
4,3,ONSET,FIX,0.9908354201446856
4,3,ONSET,TASK,0.4718454368391764
4,4,OFFSET,FIX,0.9517391304347826
4,4,OFFSET,TASK,0.39205314009661835
4,4,ONSET,FIX,0.9605286199610072
4,4,ONSET,TASK,0.33150822466348345
4,5,OFFSET,FIX,0.9909420289855072
4,5,OFFSET,TASK,0.6335507246376811
4,5,ONSET,FIX,0.8936426134655067
4,5,ONSET,TASK,0.20281214031667685
4,6,OFFSET,FIX,0.9877595628415301
4,6,OFFSET,TASK,0.45346994535519125
4,6,ONSET,FIX,0.8990438609804219
4,6,ONSET,TASK,0.22115647290939444
4,7,OFFSET,FIX,0.98
4,7,OFFSET,TASK,0.12666666666666668
4,7,ONSET,FIX,0.8927027912564555
4,7,ONSET,TASK,0.30221709078994585
4,8,OFFSET,FIX,0.989567901234568
4,8,OFFSET,TASK,0.3887037037037037
4,8,ONSET,FIX,0.9583921921150635
4,8,ONSET,TASK,0.48462639197196794
5,1,OFFSET,FIX,0.9733333333333334
5,1,OFFSET,TASK,0.3988888888888889
5,1,ONSET,FIX,0.9665551839464883
5,1,ONSET,TASK,0.016722408026755852
5,2,OFFSET,FIX,0.9833333333333333
5,2,OFFSET,TASK,0.762
5,2,ONSET,FIX,0.9910454202179307
5,2,ONSET,TASK,0.7652929118567268
5,3,OFFSET,FIX,0.928
5,3,OFFSET,TASK,0.36633333333333334
5,3,ONSET,FIX,0.795560960778352
5,3,ONSET,TASK,0.06676801459410155
5,4,OFFSET,FIX,0.8586666666666667
5,4,OFFSET,TASK,0.4026666666666667
5,4,ONSET,FIX,0.9515050167224081
5,4,ONSET,TASK,0.29676301958910656
5,5,OFFSET,FIX,0.9892592592592593
5,5,OFFSET,TASK,0.8657407407407407
5,5,ONSET,FIX,0.9687100177324863
5,5,ONSET,TASK,0.2252025768220691
5,6,OFFSET,FIX,0.980072463768116
5,6,OFFSET,TASK,0.9093478260869565
5,6,ONSET,FIX,0.9173913043478261
5,6,ONSET,TASK,0.12173913043478261
5,7,OFFSET,FIX,0.9776470588235294
5,7,OFFSET,TASK,0.8166666666666667
5,7,ONSET,FIX,0.9669732441471572
5,7,ONSET,TASK,0.00898829431438127
5,8,OFFSET,FIX,0.9663636363636363
5,8,OFFSET,TASK,0.5598484848484848
5,8,ONSET,FIX,0.9460188933873145
5,8,ONSET,TASK,0.0074517397171859415
6,1,OFFSET,FIX,0.9940612151667428
6,1,OFFSET,TASK,0.7803410994365768
6,1,ONSET,FIX,0.9961636828644501
6,1,ONSET,TASK,0.9650796773558922
6,2,OFFSET,FIX,0.9377889447236181
6,2,OFFSET,TASK,0.551859296482412
6,2,ONSET,FIX,0.997243685849383
6,2,ONSET,TASK,0.9721946718948218
6,3,OFFSET,FIX,0.9562096195262024
6,3,OFFSET,TASK,0.5196219191194066
6,3,ONSET,FIX,0.9973779264214047
6,3,ONSET,TASK,0.9745685618729097
6,4,OFFSET,FIX,0.981574539363484
6,4,OFFSET,TASK,0.6569690558053425
6,4,ONSET,FIX,0.9920388535949176
6,4,ONSET,TASK,0.926261381638956
6,5,OFFSET,FIX,0.9273450586264657
6,5,OFFSET,TASK,0.8468174204355109
6,5,ONSET,FIX,0.9974994530053449
6,5,ONSET,TASK,0.9717438189603976
6,6,OFFSET,FIX,0.8040998644013719
6,6,OFFSET,TASK,0.7185929648241206
6,6,ONSET,FIX,0.9893303766177112
6,6,ONSET,TASK,0.8819252581067326
6,7,OFFSET,FIX,0.8377180017735738
6,7,OFFSET,TASK,0.6350379347718987
6,7,ONSET,FIX,0.9998748663344936
6,7,ONSET,TASK,0.9726639819807522
6,8,OFFSET,FIX,0.9881700167504187
6,8,OFFSET,TASK,0.7992043551088778
6,8,ONSET,FIX,1.0
6,8,ONSET,TASK,0.9948365898022649
7,1,OFFSET,FIX,0.6906410256410257
7,1,OFFSET,TASK,0.3414102564102564
7,1,ONSET,FIX,0.8147553614999358
7,1,ONSET,TASK,0.6914890201618081
7,2,OFFSET,FIX,0.5627777777777778
7,2,OFFSET,TASK,0.16722222222222222
7,2,ONSET,FIX,0.3084770914487108
7,2,ONSET,TASK,0.152105360786496
7,3,OFFSET,FIX,0.6554545454545454
7,3,OFFSET,TASK,0.2824242424242424
7,3,ONSET,FIX,0.6892860650103113
7,3,ONSET,TASK,0.531415103604046
7,4,OFFSET,FIX,0.908
7,4,OFFSET,TASK,0.3065
7,4,ONSET,FIX,0.8878015082608945
7,4,ONSET,TASK,0.564331356859133
7,5,OFFSET,FIX,0.953
7,5,OFFSET,TASK,0.17255555555555555
7,5,ONSET,FIX,0.9661063011996739
7,5,ONSET,TASK,0.2313739954187211
7,6,OFFSET,FIX,0.9898148148148148
7,6,OFFSET,TASK,0.43296296296296294
7,6,ONSET,FIX,0.9732665553700612
7,6,ONSET,TASK,0.18490818030050082
7,7,OFFSET,FIX,0.9605555555555556
7,7,OFFSET,TASK,0.2103968253968254
7,7,ONSET,FIX,0.9708952672124224
7,7,ONSET,TASK,0.23973691091578334
7,8,OFFSET,FIX,0.9891666666666666
7,8,OFFSET,TASK,0.33525
7,8,ONSET,FIX,0.9706676236094425
7,8,ONSET,TASK,0.11452108654611268
8,1,OFFSET,FIX,0.9894775301424917
8,1,OFFSET,TASK,0.9601753744976251
8,1,ONSET,FIX,0.9674549549549549
8,1,ONSET,TASK,0.940563063063063
8,2,OFFSET,FIX,0.9818181818181818
8,2,OFFSET,TASK,0.9185637891520244
8,2,ONSET,FIX,0.9685300925925926
8,2,ONSET,TASK,0.9460532407407407
8,3,OFFSET,FIX,0.9685979655019903
8,3,OFFSET,TASK,0.8935869084475896
8,3,ONSET,FIX,0.9647619047619047
8,3,ONSET,TASK,0.9381666666666667
8,4,OFFSET,FIX,0.9576776165011459
8,4,OFFSET,TASK,0.8948815889992361
8,4,ONSET,FIX,0.9615714285714285
8,4,ONSET,TASK,0.8976190476190476
8,5,OFFSET,FIX,0.5675070028011204
8,5,OFFSET,TASK,0.4000800320128051
8,5,ONSET,FIX,0.7332482993197279
8,5,ONSET,TASK,0.501360544217687
8,6,OFFSET,FIX,0.3453287197231834
8,6,OFFSET,TASK,0.1852694018783984
8,6,ONSET,FIX,0.6511111111111111
8,6,ONSET,TASK,0.43742424242424244
8,7,OFFSET,FIX,0.033225597931480284
8,7,OFFSET,TASK,0.0019392372333548805
8,7,ONSET,FIX,0.7120531400966184
8,7,ONSET,TASK,0.33152173913043476
8,8,OFFSET,FIX,0.5430099312452253
8,8,OFFSET,TASK,0.15966386554621848
8,8,ONSET,FIX,0.5789632545931759
8,8,ONSET,TASK,0.31520341207349084
9,1,OFFSET,FIX,0.8190277777777778
9,1,OFFSET,TASK,1.0
9,1,ONSET,FIX,0.9754858385910139
9,1,ONSET,TASK,0.9756303796370575
9,2,OFFSET,FIX,0.8678787878787879
9,2,OFFSET,TASK,1.0
9,2,ONSET,FIX,0.9300714222953042
9,2,ONSET,TASK,0.9402010870247405
9,3,OFFSET,FIX,0.9394791666666666
9,3,OFFSET,TASK,1.0
9,3,ONSET,FIX,0.9366428710427399
9,3,ONSET,TASK,0.9426549361410121
9,4,OFFSET,FIX,0.914375
9,4,OFFSET,TASK,0.90375
9,4,ONSET,FIX,0.9670191059172695
9,4,ONSET,TASK,0.9688740493414951
9,5,OFFSET,FIX,0.9983823529411765
9,5,OFFSET,TASK,0.9795098039215686
9,5,ONSET,FIX,0.8155258764607679
9,5,ONSET,TASK,0.5267111853088481
9,6,OFFSET,FIX,1.0
9,6,OFFSET,TASK,0.999702380952381
9,6,ONSET,FIX,0.96380228308442
9,6,ONSET,TASK,0.8276519424265668
9,7,OFFSET,FIX,0.9996794871794872
9,7,OFFSET,TASK,0.9998717948717949
9,7,ONSET,FIX,0.9882437115079755
9,7,ONSET,TASK,0.9026107939001978
9,8,OFFSET,FIX,1.0
9,8,OFFSET,TASK,1.0
9,8,ONSET,FIX,0.9920974848791702
9,8,ONSET,TASK,0.9202153862995703
